cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
1010053,10,1005,0,轻度周围神经束源石性痛觉敏化,0.35,0.03,四肢皮肤外观正常，轻压时个别区域反应略敏感,最近一碰到稍微硬一点的东西就会有轻微刺痛，尤其是在前臂和小腿外侧，有时候衣服摩擦也会觉得不舒服，但不会影响行走和拿东西,总说“像皮肤下面藏了小刺”，有时候会把疼的位置说成整条胳膊或腿都痛,定量感觉检测 + 神经传导检查,定量感觉检测提示痛觉阈值轻度降低，局部神经传导速度略有改变，推测与轻度源石性神经鞘受累有关,感觉阈值和神经传导参数在正常范围内，未见明显病理性改变,本次检查未能直接证实痛觉敏化，但局部神经仍有轻度功能异常，提示同部位存在其他轻症级别病变,本次检查未能直接证实痛觉敏化，却显示相邻神经干有中度传导异常，提示同部位合并中症级别痛觉通路病灶,本次检查未能直接证实痛觉敏化，却发现多条神经束传导严重受损，提示同部位已合并重症级别神经痛综合征,门诊对症镇痛 + 源石神经调节剂 21 号 + 局部理疗,0
1010054,10,1005,0,轻度周围神经束源石性冷敏感,0.3,0.025,肢体外观正常，室温下偶见患者蜷指以自我保暖,这段时间手脚一吹冷风就会明显刺痛和麻木，比以前更怕冷，暖和后症状会减轻，没有明显皮色改变,总说“只要有点凉气吹到手脚，里面的石头就会跟着凉透”,冷刺激试验 + 神经传导检查,冷刺激阈值明显下降，轻度冷刺激即可诱发刺痛和麻木感，神经传导波形轻度改变，提示源石性冷敏感,冷刺激阈值在正常范围，诱发症状不明显，神经传导未见明确异常,本次检查未能直接证实冷敏感，但同一肢体其他神经有轻度功能异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实冷敏感，却在邻近神经干发现中度传导异常，提示同部位合并中症级别冷痛综合征,本次检查未能直接证实冷敏感，却显示多支神经受累严重，提示同部位已合并重症级别周围神经损伤,门诊保暖与生活方式指导 + 源石代谢调节剂 21 号 + 轻度体表理疗,0
1010055,10,1005,1,中度周围神经束源石性脱髓鞘,0.6,0.065,查体可见四肢远端肌力轻度下降，腱反射减弱，步态略拖步,近一两周明显感觉手握东西没以前有力，拿久一点会抖，走路容易绊到，尤其是脚背抬不高的时候更明显,总说“四肢像被磨掉了一层保护壳”，一会儿觉得是肌肉没力，一会儿又说手脚反应慢,神经传导速度检查 + 神经超声,多支周围神经运动纤维传导速度中度减慢，波幅下降，神经干超声显示鞘内不均匀回声并可见片状源石沉积,神经传导与影像检查未见明确脱髓鞘模式，仅有轻度非特异性变化,本次检查未能直接证实源石性脱髓鞘，但部分纤维仍有轻度功能异常，提示同部位存在其他轻症级别病变,本次检查未能直接证实源石性脱髓鞘，却在相邻节段发现中度结晶团块压迫，提示同部位合并中症级别神经病灶,本次检查未能直接证实源石性脱髓鞘，却显示多支神经束传导严重中断和萎缩，提示同部位已合并重症级别周围神经功能丧失,住院短期监护 + 源石代谢抑制剂 22 号 + 神经营养与康复训练 + 防跌倒管理,0
1010056,10,1005,1,中度周围神经束源石性压迫综合征,0.4,0.06,某些神经走行处可见轻度压痛，肢体远端肌肉略有萎缩外观,这段时间某条手臂或小腿一侧总是酸胀麻木，长时间保持一个姿势后会加重，活动一会儿能略微缓解，但总体比以前无力,总说“像有一串石珠吊在神经上”，压得整条肢体都提不起劲,周围神经 MRI + 位置性神经传导测试,神经走行处可见条索状或团块状源石结晶紧贴神经束，特定体位下神经传导速度中度下降，提示压迫综合征,影像未见明确结晶压迫，位置性传导测试仅有轻度波动,本次检查未能直接证实压迫综合征，但相邻段仍有轻度信号异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实压迫综合征，却在同一神经束远端发现中度结晶性狭窄，提示同部位合并中症级别病灶,本次检查未能直接证实压迫综合征，却显示多处神经束被重度压迫变形，提示同部位已合并重症级别周围神经受压,住院或日间治疗 + 源石代谢抑制剂 22 号 + 体位与支具矫正 + 神经松解前评估,0
1010057,10,1005,2,周围神经束广泛源石板块包裹,1.0,0.11,四肢远端肌肉明显萎缩，步态高抬足或拖步，需扶物行走,目前手基本握不紧东西，筷子和杯子经常拿不稳，走路时脚抬不起来容易绊倒，整条肢体频繁麻木和烧灼痛,只会反复说“手脚像被一整块石头封住了”，一会儿喊疼一会儿又说完全没知觉,高分辨周围神经 MRI + 术中神经电生理监测,多支周围神经被大片源石板块环绕包裹，神经干显著变细，术中监测显示多数纤维电反应严重减弱或消失,影像显示神经干轮廓尚可，未见连续板块样结晶，结果阴性,本次检查未能直接证实广泛源石板块包裹，但部分神经节段仍有轻度信号异常，提示该部位存在其他轻症级别源石性病变,本次检查未能直接证实广泛源石板块包裹，却在多处神经干发现中度结晶性狭窄和变形，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实广泛源石板块包裹，却显示多支神经束广泛信号中断和严重萎缩，提示同部位已合并重症级别周围神经功能废绝,显微周围神经减压与源石板块清理术 + 必要时神经移植或搭桥 + 术中神经电监护 + 术前高剂量感染抑制剂 23 号与疼痛控制方案联合准备,1
1010062,10,1006,0,轻度视神经交叉源石性鞘旁沉积,0.35,0.03,外观仅见轻度视疲劳，眼神偶显发散但能迅速聚焦,最近看屏幕久一点就会觉得眼前有一点点重影或者闪光，闭眼休息一会儿会好一些，没有明显视力骤降,总说“看东西像隔了一层很薄的雾”，有时候又说是画面有点晃,视野检查 + 视神经 MRI,视野检查可见轻度周边视野缺损，视神经交叉鞘旁可见点状源石沉积影，神经厚度略增,视野与视力检查在正常范围内，视神经影像未见明显鞘旁沉积或肿胀,本次检查未能直接证实鞘旁沉积，但交叉附近仍有轻度信号异常，提示同部位存在其他轻症级别病变,本次检查未能直接证实鞘旁沉积，却在视路上发现中度信号异常带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实鞘旁沉积，却显示视路多处信号中断，提示同部位已合并重症级别视功能受损病变,门诊源石代谢调节剂 21 号 + 视疲劳管理 + 定期视野随访,0
1010063,10,1006,0,轻度视神经交叉源石性传导迟缓,0.35,0.03,眼部外观基本正常，对光反射略迟缓但对称,最近总觉得看东西反应慢半拍，特别是从暗处走到亮处时会有一小段时间看不清，之后会逐渐适应,总说“眼前画面老是慢一格”，一会儿觉得是终端刷新慢，一会儿又怀疑是自己反应慢,视诱发电位 + 功能性 MRI,视诱发电位潜伏期轻度延长，波形稍钝，功能性 MRI 显示视神经交叉附近传导通路激活延迟，提示轻度传导迟缓,视诱发电位波形和潜伏期在正常范围内，功能性 MRI 未见明确异常,本次检查未能直接证实传导迟缓，但交叉区域仍有轻度代谢异常，提示同部位存在其他轻症级别功能改变,本次检查未能直接证实传导迟缓，却在视束上发现中度信号异常带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实传导迟缓，却显示视路多处信号中断，提示同部位已合并重症级别传导危象,门诊随访 + 源石神经调节剂 21 号 + 视觉环境与光线调整,0
1010064,10,1006,0,轻度视神经交叉源石性闪辉,0.3,0.025,眼部外观无红肿，偶在聚精会神时眯眼缓解不适,这段时间偶尔会在两眼前同时出现短暂的亮点或闪片，但持续时间很短，没有明显头痛，只是有点心烦意乱,总说“眼前老有星星窜了一下”，一会儿说像终端屏幕有干扰，一会儿又说像有人在眼前晃灯,视网膜检查 + 视路 MRI,眼底与视网膜检查未见结构性病变，视路 MRI 显示视神经交叉周围有点状源石沉积，与轻度功能异常相关,眼底与视路 MRI 均无明显异常，未见源石沉积或信号改变,本次检查未能直接证实源石性闪辉，但视束远端仍有轻度信号异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实源石性闪辉，却在视交叉后方发现中度信号异常斑片，提示同部位合并中症级别病灶,本次检查未能直接证实源石性闪辉，却显示视路多处有重度信号中断，提示同部位已合并重症级别视通路损伤,门诊源石代谢调节剂 21 号 + 避免强光刺激 + 规律作息,0
1010065,10,1006,1,中度视神经交叉源石性压迫,0.6,0.065,轻度视力下降，双眼视野外侧缺损，患者看物体时常略偏头,近一两周发现看东西变得模糊，尤其是两侧视野好像被切掉一块，看终端时要稍微偏头才能把文字看全，有时会伴随轻微额顶部胀痛,总说“世界两边都被挤窄了”，一会儿说像站在一条长走廊中间，左右墙突然靠近,视野检查 + 视神经交叉 MRI,双眼视野外侧可见中度缺损，视神经交叉下方有条带状源石结晶压迫影，神经鞘轻度肿胀,视野检查仅有轻度不对称，MRI 未见明确压迫性结晶灶，仅可见轻度结构改变,本次检查未能直接证实源石性压迫，但视路上仍有轻度信号异常，提示同部位存在其他轻症级别病变,本次检查未能直接证实源石性压迫，却在交叉后视束发现中度信号异常带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实源石性压迫，却显示视路多处有重度信号中断和变细，提示同部位已合并重症级别视功能危象,住院监护 + 源石代谢抑制剂 22 号静点 + 视功能康复训练 + 术前压迫评估,0
1010066,10,1006,1,中度视神经交叉源石性炎性病灶,0.4,0.06,轻度结膜充血，患者眯眼看远处目标，偶抱头诉不适,这段时间视力波动比较明显，早晚看东西清楚程度差别大，两眼会同时出现酸胀和刺痛，伴随额顶部中度头痛,总说“感觉视线在石头缝里挤来挤去”，有时候甚至不敢直视强光,对比增强 MRI + 源石相关炎症标记扫描,视神经交叉附近可见环形强化源石性炎症灶，周围神经鞘水肿中度，功能成像提示传导效率下降,影像仅示轻度强化，未见典型炎症性病灶，源石炎症标记水平在低度波动范围内,本次检查未能直接证实炎性病灶，但交叉区域仍有轻度代谢异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实炎性病灶，却在视束与交叉交界处发现中度信号异常斑块，提示同部位合并中症级别炎症或结晶病灶,本次检查未能直接证实炎性病灶，却显示视路多处有重度强化和神经鞘增厚，提示同部位已合并重症级别视通路炎性损害,住院短期激素冲击治疗 + 源石代谢抑制剂 22 号 + 眼部保护与视功能康复计划,0
1010067,10,1006,2,视神经交叉广泛源石板块压迫,1.0,0.11,明显视力下降，视野严重缩窄或管状视，患者步态小心摸索前行,目前看东西非常模糊，两侧视野几乎看不到，只能勉强看到正前方的一小块区域，行走时容易撞到东西，常常需要扶着墙或者他人,只会反复说“世界被挤成了一条细缝”，一会儿抓住额头一会儿眯起眼睛努力看,3D 视路 MRI 重建 + 源石晶体成像 + 术中视神经电监测,视神经交叉及邻近视束被大片源石板块包裹压迫，神经明显变扁，术中监测显示传导反应严重减弱，部分纤维电反应消失,影像显示视路轮廓尚可，未见大片板块样结晶灶，结果阴性,本次检查未能直接证实广泛源石板块压迫，但部分视路仍有轻度信号异常，提示该部位存在其他轻症级别源石性病变,本次检查未能直接证实广泛源石板块压迫，却在视神经交叉附近发现中度结晶团块和视路狭窄，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实广泛源石板块压迫，却显示视路多处有重度信号中断和严重变细，提示同部位已合并重症级别进行性失明病变,开颅视路减压术 + 大块源石板块清理与神经鞘成形 + 术中视神经电监测 + 术前高剂量感染抑制剂 23 号与神经营养药联合准备,1
